name;description;powerMax [MW];powerMin [MW];efficiency [%];rampUp [MW/15min];rampDown [MW/15min];variableCosts [EUR/MWh];shutdownCosts [EUR/MW];startupCosts  [EUR/MW]
NEURATH F;lignite;1.120;560;0,434;504;504;20,75;2,7;45
NEURATH G;lignite;1.120;560;0,434;504;504;20,75;2,7;45
NIEDERAUSSEM K;lignite;1.012;506;0,422;455;455;21,3;2,7;45
LIPPENDORF R;lignite;933;466,5;0,416;420;420;21,58;2,7;45
LIPPENDORF S;lignite;933;466,5;0,415;420;420;21,63;2,7;45
BOXBERG Q;lignite;907;453,5;0,415;408;408;21,63;2,7;45
SCHWARZE PUMPE A;lignite;800;400;0,408;360;360;21,97;2,7;45
SCHWARZE PUMPE B;lignite;800;400;0,407;360;360;22,02;2,7;45
BOXBERG R;lignite;675;337,5;0,433;304;304;20,8;2,7;45
JANSCHWALDE D;lignite;500;250;0,388;225;225;23,02;2,7;45
JANSCHWALDE E;lignite;500;250;0,386;225;225;23,13;2,7;45
JANSCHWALDE F;lignite;500;250;0,386;225;225;23,13;2,7;45
JANSCHWALDE B;lignite;500;250;0,38;225;225;23,47;2,7;45
JANSCHWALDE C;lignite;500;250;0,379;225;225;23,52;2,7;45
JANSCHWALDE A;lignite;500;250;0,37;225;225;24,06;2,7;45
SCHKOPAU-II A;lignite;480;240;0,41;216;216;21,87;2,7;45
SCHKOPAU-II B;lignite;480;240;0,41;216;216;21,87;2,7;45
MERKENICH (NORD) 3;lignite;58;29;0,325;26;26;27,16;2,7;45
COTTBUS CHP S1;lignite;48;24;0,416;22;22;21,58;2,7;45
MERKENICH (NORD) 2;lignite;24;12;0,299;11;11;29,38;2,7;45
COTTBUS CHP S2;lignite;18;9;0,416;8;8;21,58;2,7;45
DESSAU S1;lignite;17;8,5;0,4;8;8;22,38;2,7;45
DESSAU S2;lignite;17;8,5;0,4;8;8;22,38;2,7;45
NIEDERAUSSEM G;lignite;620;310;0,38;279;279;23,47;3;50
NIEDERAUSSEM H;lignite;620;310;0,374;279;279;23,82;3;50
