tick;supply[MWh]
0;2152,75
1;2113,75
2;2127
3;2110
4;2008,75
5;1998,5
6;2009,75
7;2069,25
8;2139,25
9;2190,25
10;2252,5
11;2221,25
12;2247,5
13;2269
14;2271
15;2182
16;2133
17;2124,75
18;2123,75
19;2128
20;2116
21;2106,5
22;2076
23;2061,75
24;2026,25
25;2026,25
26;1992,5
27;2001,75
28;2029
29;2090
30;2051,75
31;2062,5
32;2096
33;2146,75
34;2125,5
35;2183
36;2303,5
37;2408,25
38;2368,75
39;2336
40;2441
41;2586,25
42;2663,75
43;2716
44;2797,75
45;2917
46;3039,25
47;3123,75
48;3099,25
49;3104,75
50;3104,25
51;3182,5
52;3126,5
53;3046,5
54;3008,5
55;2907,5
56;2809,5
57;2604,75
58;2461,75
59;2308,5
60;2110,75
61;1993,25
62;1966,75
63;1920
64;1909
65;2005,75
66;2157,25
67;2180,25
68;2286,25
69;2439
70;2522,5
71;2575,75
72;2632,25
73;2710,75
74;2780,75
75;2911,75
76;2948,5
77;3051,75
78;3147,25
79;3209,75
80;3208,75
81;3182,5
82;3236
83;3221,25
84;3180,5
85;3175,25
86;3277,25
87;3346,75
88;3317,5
89;3385,5
90;3407
91;3388,5
92;3435
93;3553,25
94;3534,5
95;3468,25
96;3430
97;3464,5
98;3417
99;3465,75
100;3466,75
101;3457,25
102;3422,75
103;3479
104;3516,25
105;3512,5
106;3527,75
107;3541,75
108;3643,75
109;3675
110;3727,25
111;3740,25
112;3693
113;3728,5
114;3790
115;3786,75
116;3736
117;3785,5
118;3794,75
119;3810,75
120;3912
121;3905,25
122;3930,25
123;3957,75
124;3994,5
125;4028,25
126;3942
127;3899,5
128;3868,75
129;3851,25
130;3825,5
131;3848,5
132;3789,25
133;3793,25
134;3823,75
135;3865,5
136;3948,75
137;3958,5
138;3930,75
139;3943,5
140;3962
141;3856,75
142;3839,75
143;3750,25
144;3732,25
145;3783,75
146;3874
147;3882,75
148;3827,5
149;3889
150;3849,25
151;3693,75
152;3659
153;3568,25
154;3468
155;3394,5
156;3345,25
157;3262,25
158;3187,25
159;3111,25
160;3026,75
161;2925
162;2978,25
163;3045,75
164;3063
165;3108
166;3115,75
167;3144,5
168;3068,25
169;3013,5
170;2942,5
171;2951,5
172;2953
173;2937,25
174;2927,75
175;2840,5
176;2766,25
177;2745,25
178;2633
179;2597,25
180;2543,25
181;2458,5
182;2431,5
183;2350,25
184;2284,75
185;2172
186;2151
187;2181
188;2218,25
189;2185
190;2195,75
191;2186,75
192;2070,5
193;2001
194;1923,5
195;1921
196;1975,5
197;2006,25
198;1949,5
199;1955,25
200;1935,75
201;2023,25
202;2060,75
203;2140,75
204;2203,75
205;2257,25
206;2333
207;2377
208;2382,25
209;2499,5
210;2569,5
211;2625,25
212;2692,5
213;2768,25
214;2782
215;2813,75
216;2889,25
217;3048,25
218;3083,75
219;3144,25
220;3198,25
221;3248
222;3292,75
223;3292,25
224;3378
225;3616,75
226;3680
227;3727,75
228;3881,25
229;4012
230;4262,25
231;4438,25
232;4577,75
233;4759,5
234;4854,5
235;4925,5
236;4967,75
237;4949,75
238;5016,5
239;5051
240;4929,25
241;4734,5
242;4747,75
243;4755
244;4784,75
245;4722,25
