tick;price
0;-63,781
1;21,871
2;23,128
3;23,89
4;23,128
5;23,525
6;23,817
7;23,467
8;21,97
9;22,745
10;23,017
11;23,017
12;21,627
13;21,97
14;21,97
15;22,02
16;21,97
17;21,97
18;21,97
19;21,97
20;21,627
21;21,871
22;21,871
23;21,871
24;21,296
25;21,627
26;21,627
27;21,627
28;21,627
29;21,627
30;21,627
31;21,627
32;21,627
33;21,627
34;21,627
35;21,627
36;21,97
37;21,627
38;21,871
39;21,871
40;23,467
41;21,97
42;21,871
43;21,871
44;23,017
45;21,97
46;21,627
47;21,627
48;22,02
49;21,97
50;21,97
51;21,627
52;21,871
53;21,97
54;21,97
55;22,02
56;22,02
57;23,467
58;23,128
59;23,525
60;24,619
61;24,426
62;24,426
63;24,489
64;34,442
65;26,251
66;24,619
67;25,069
68;37,307
69;35,245
70;34,442
71;34,875
72;35,245
73;34,875
74;34,442
75;34,442
76;28,534
77;26,251
78;26,251
79;26,251
80;23,467
81;24,057
82;24,489
83;24,426
84;23,525
85;23,89
86;23,89
87;23,467
88;24,426
89;23,936
90;23,89
91;23,936
92;21,627
93;21,97
94;23,017
95;23,017
96;-43,625
97;21,296
98;21,627
99;21,579
100;2,922
101;20,753
102;20,797
103;20,753
104;2,922
105;20,753
106;20,753
107;20,753
108;20,753
109;20,753
110;20,753
111;20,753
112;21,579
113;20,797
114;20,753
115;20,753
116;22,02
117;21,627
118;21,579
119;21,579
120;34,442
121;23,89
122;23,128
123;23,467
124;35,245
125;27,639
126;26,178
127;26,926
128;35,395
129;35,245
130;35,245
131;35,245
132;35,395
133;35,395
134;35,395
135;35,395
136;35,395
137;35,395
138;35,395
139;35,395
140;37,993
141;37,993
142;37,993
143;38,706
144;38,706
145;38,706
146;37,993
147;37,993
148;36,325
149;36,974
150;37,307
151;38,706
152;35,395
153;36,974
154;38,706
155;38,706
156;38,706
157;38,706
158;39,258
159;39,352
160;40,021
161;40,021
162;40,021
163;40,021
164;41,643
165;40,217
166;40,021
167;40,021
168;40,021
169;40,021
170;40,217
171;40,021
172;40,021
173;40,021
174;40,021
175;40,021
176;35,395
177;38,706
178;39,352
179;39,352
180;35,395
181;36,974
182;38,706
183;38,706
184;35,395
185;35,395
186;36,974
187;35,395
188;34,442
189;35,245
190;35,245
191;35,245
192;23,89
193;27,639
194;29,997
195;28,534
196;23,525
197;24,426
198;25,611
199;24,619
200;23,936
201;24,057
202;24,057
203;23,89
204;23,89
205;23,89
206;23,817
207;23,817
208;24,057
209;23,89
210;23,525
211;23,525
212;24,619
213;24,057
214;24,057
215;23,89
216;35,245
217;26,849
218;25,069
219;25,611
220;35,395
221;35,245
222;34,875
223;35,245
224;39,352
225;35,395
226;35,395
227;35,395
228;35,395
229;35,395
230;35,32
231;35,245
232;35,245
233;34,875
234;34,875
235;34,442
236;35,245
237;35,245
238;34,875
239;34,875
240;35,245
241;35,32
242;35,245
243;35,245
244;35,245
245;35,245
246;35,245
247;35,245
248;35,245
249;35,245
250;35,32
251;35,32
252;35,245
253;35,32
254;35,395
255;35,395
256;35,395
257;35,395
258;35,395
259;35,395
260;40,816
261;40,021
262;39,352
263;39,352
264;38,706
265;38,706
266;38,706
267;38,706
268;35,245
269;35,395
270;37,993
271;37,307
272;29,997
273;35,245
274;34,875
275;34,875
276;24,619
277;26,926
278;34,442
279;26,251
280;25,611
281;25,069
282;25,611
283;24,489
284;21,871
285;23,467
286;23,89
287;23,89
