tick;demand[MWh]
0;10590
1;10590
2;10590
3;10590
4;10131
5;10131
6;10131
7;10131
8;9847
9;9847
10;9847
11;9847
12;9606
13;9606
14;9606
15;9606
16;9488
17;9488
18;9488
19;9488
20;9290
21;9290
22;9290
23;9290
24;8967
25;8967
26;8967
27;8967
28;9047
29;9047
30;9047
31;9047
32;9146
33;9146
34;9146
35;9146
36;9452
37;9452
38;9452
39;9452
40;9892
41;9892
42;9892
43;9892
44;10192
45;10192
46;10192
47;10192
48;10364
49;10364
50;10364
51;10364
52;10354
53;10354
54;10354
55;10354
56;10278
57;10278
58;10278
59;10278
60;10478
61;10478
62;10478
63;10478
64;10996
65;10996
66;10996
67;10996
68;12322
69;12322
70;12322
71;12322
72;12475
73;12475
74;12475
75;12475
76;12320
77;12320
78;12320
79;12320
80;11788
81;11788
82;11788
83;11788
84;11487
85;11487
86;11487
87;11487
88;11719
89;11719
90;11719
91;11719
92;11079
93;11079
94;11079
95;11079
96;10136
97;10136
98;10136
99;10136
100;9691
101;9691
102;9691
103;9691
104;9549
105;9549
106;9549
107;9549
108;9644
109;9644
110;9644
111;9644
112;9959
113;9959
114;9959
115;9959
116;10489
117;10489
118;10489
119;10489
120;11895
121;11895
122;11895
123;11895
124;13053
125;13053
126;13053
127;13053
128;13783
129;13783
130;13783
131;13783
132;14275
133;14275
134;14275
135;14275
136;14575
137;14575
138;14575
139;14575
140;14919
141;14919
142;14919
143;14919
144;15028
145;15028
146;15028
147;15028
148;14860
149;14860
150;14860
151;14860
152;14560
153;14560
154;14560
155;14560
156;14553
157;14553
158;14553
159;14553
160;14871
161;14871
162;14871
163;14871
164;15506
165;15506
166;15506
167;15506
168;15309
169;15309
170;15309
171;15309
172;15067
173;15067
174;15067
175;15067
176;14157
177;14157
178;14157
179;14157
180;13525
181;13525
182;13525
183;13525
184;13047
185;13047
186;13047
187;13047
188;12364
189;12364
190;12364
191;12364
192;11295
193;11295
194;11295
195;11295
196;10730
197;10730
198;10730
199;10730
200;10506
201;10506
202;10506
203;10506
204;10537
205;10537
206;10537
207;10537
208;10733
209;10733
210;10733
211;10733
212;11165
213;11165
214;11165
215;11165
216;12056
217;12056
218;12056
219;12056
220;13203
221;13203
222;13203
223;13203
224;14138
225;14138
226;14138
227;14138
228;14532
229;14532
230;14532
231;14532
232;14645
233;14645
234;14645
235;14645
236;14874
237;14874
238;14874
239;14874
240;14910
241;14910
242;14910
243;14910
244;14806
245;14806
246;14806
247;14806
248;14656
249;14656
250;14656
251;14656
252;14397
253;14397
254;14397
255;14397
256;14576
257;14576
258;14576
259;14576
260;15379
261;15379
262;15379
263;15379
264;15424
265;15424
266;15424
267;15424
268;14791
269;14791
270;14791
271;14791
272;13943
273;13943
274;13943
275;13943
276;13511
277;13511
278;13511
279;13511
280;13404
281;13404
282;13404
283;13404
284;12760
285;12760
286;12760
287;12760
288;11736
289;11736
290;11736
291;11736
292;11112
293;11112
294;11112
295;11112
296;10841
297;10841
298;10841
299;10841
300;10780
301;10780
302;10780
303;10780
304;10818
305;10818
306;10818
307;10818
308;10773
309;10773
310;10773
311;10773
312;10933
313;10933
314;10933
315;10933
316;11598
317;11598
318;11598
319;11598
320;12275
321;12275
322;12275
323;12275
324;13071
325;13071
326;13071
327;13071
328;13477
329;13477
330;13477
331;13477
332;13751
333;13751
334;13751
335;13751
336;13619
337;13619
338;13619
339;13619
340;13305
341;13305
342;13305
343;13305
344;13033
345;13033
346;13033
347;13033
348;13224
349;13224
350;13224
351;13224
352;13849
353;13849
354;13849
355;13849
356;14626
357;14626
358;14626
359;14626
360;14659
361;14659
362;14659
363;14659
364;14171
365;14171
366;14171
367;14171
368;13282
369;13282
370;13282
371;13282
372;12615
373;12615
374;12615
375;12615
376;12512
377;12512
378;12512
379;12512
380;11801
381;11801
382;11801
383;11801
384;10975
385;10975
386;10975
387;10975
388;10268
389;10268
390;10268
391;10268
392;9921
393;9921
394;9921
395;9921
396;9710
397;9710
398;9710
399;9710
400;9687
401;9687
402;9687
403;9687
404;9600
405;9600
406;9600
407;9600
408;9376
409;9376
410;9376
411;9376
412;9591
413;9591
414;9591
415;9591
416;10304
417;10304
418;10304
419;10304
420;11227
421;11227
422;11227
423;11227
424;11858
425;11858
426;11858
427;11858
428;12461
429;12461
430;12461
431;12461
432;12621
433;12621
434;12621
435;12621
436;12091
437;12091
438;12091
439;12091
440;11711
441;11711
442;11711
443;11711
444;11686
445;11686
446;11686
447;11686
448;12048
449;12048
450;12048
451;12048
452;13379
453;13379
454;13379
455;13379
456;13797
457;13797
458;13797
459;13797
460;13712
461;13712
462;13712
463;13712
464;13101
465;13101
466;13101
467;13101
468;12668
469;12668
470;12668
471;12668
472;12592
473;12592
474;12592
475;12592
476;11957
477;11957
478;11957
479;11957
480;11138
481;11138
482;11138
483;11138
484;10718
485;10718
486;10718
487;10718
488;10451
489;10451
490;10451
491;10451
492;10090
493;10090
494;10090
495;10090
496;10396
497;10396
498;10396
499;10396
500;11167
501;11167
502;11167
503;11167
504;12566
505;12566
506;12566
507;12566
508;13809
509;13809
510;13809
511;13809
512;14557
513;14557
514;14557
515;14557
516;14937
517;14937
518;14937
519;14937
520;15363
521;15363
522;15363
523;15363
524;15552
525;15552
526;15552
527;15552
528;15474
529;15474
530;15474
531;15474
532;15180
533;15180
534;15180
535;15180
536;14875
537;14875
538;14875
539;14875
540;14710
541;14710
542;14710
543;14710
544;15060
545;15060
546;15060
547;15060
548;15993
549;15993
550;15993
551;15993
552;16192
553;16192
554;16192
555;16192
556;15870
557;15870
558;15870
559;15870
560;14829
561;14829
562;14829
563;14829
564;14257
565;14257
566;14257
567;14257
568;13917
569;13917
570;13917
571;13917
572;12994
573;12994
574;12994
575;12994
576;12336
577;12336
578;12336
579;12336
580;11799
581;11799
582;11799
583;11799
584;11697
585;11697
586;11697
587;11697
588;11835
589;11835
590;11835
591;11835
592;11961
593;11961
594;11961
595;11961
596;12501
597;12501
598;12501
599;12501
600;14423
601;14423
602;14423
603;14423
604;16181
605;16181
606;16181
607;16181
608;16664
609;16664
610;16664
611;16664
612;16380
613;16380
614;16380
615;16380
616;16473
617;16473
618;16473
619;16473
620;16754
621;16754
622;16754
623;16754
624;16708
625;16708
626;16708
627;16708
628;16492
629;16492
630;16492
631;16492
632;16184
633;16184
634;16184
635;16184
636;16347
637;16347
638;16347
639;16347
640;16410
641;16410
642;16410
643;16410
644;17131
645;17131
646;17131
647;17131
648;17200
649;17200
650;17200
651;17200
652;16913
653;16913
654;16913
655;16913
656;16096
657;16096
658;16096
659;16096
660;15371
661;15371
662;15371
663;15371
664;14703
665;14703
666;14703
667;14703
668;13784
669;13784
670;13784
671;13784
672;13050
673;13050
674;13050
675;13050
676;12383
677;12383
678;12383
679;12383
680;12054
681;12054
682;12054
683;12054
684;12120
685;12120
686;12120
687;12120
688;12178
689;12178
690;12178
691;12178
692;12660
693;12660
694;12660
695;12660
696;14297
697;14297
698;14297
699;14297
700;15833
701;15833
702;15833
703;15833
704;16311
705;16311
706;16311
707;16311
708;16110
709;16110
710;16110
711;16110
712;16196
713;16196
714;16196
715;16196
716;16503
717;16503
718;16503
719;16503
720;16278
721;16278
722;16278
723;16278
724;15997
725;15997
726;15997
727;15997
728;15774
729;15774
730;15774
731;15774
732;16022
733;16022
734;16022
735;16022
736;16622
737;16622
738;16622
739;16622
740;17319
741;17319
742;17319
743;17319
744;17196
745;17196
746;17196
747;17196
748;16753
749;16753
750;16753
751;16753
752;15844
753;15844
754;15844
755;15844
756;15255
757;15255
758;15255
759;15255
760;14482
761;14482
762;14482
763;14482
764;13392
765;13392
766;13392
767;13392
768;12478
769;12478
770;12478
771;12478
772;11863
773;11863
774;11863
775;11863
776;11460
777;11460
778;11460
779;11460
780;11578
781;11578
782;11578
783;11578
784;11829
785;11829
786;11829
787;11829
788;12598
789;12598
790;12598
791;12598
792;14602
793;14602
794;14602
795;14602
796;16295
797;16295
798;16295
799;16295
800;16835
801;16835
802;16835
803;16835
804;16700
805;16700
806;16700
807;16700
808;17085
809;17085
810;17085
811;17085
812;17257
813;17257
814;17257
815;17257
816;17100
817;17100
818;17100
819;17100
820;17003
821;17003
822;17003
823;17003
824;16811
825;16811
826;16811
827;16811
828;16631
829;16631
830;16631
831;16631
832;16674
833;16674
834;16674
835;16674
836;17277
837;17277
838;17277
839;17277
840;17126
841;17126
842;17126
843;17126
844;16726
845;16726
846;16726
847;16726
848;15956
849;15956
850;15956
851;15956
852;15494
853;15494
854;15494
855;15494
856;14889
857;14889
858;14889
859;14889
860;13964
861;13964
862;13964
863;13964
864;13157
865;13157
866;13157
867;13157
868;12746
869;12746
870;12746
871;12746
872;12298
873;12298
874;12298
875;12298
876;12321
877;12321
878;12321
879;12321
880;12565
881;12565
882;12565
883;12565
884;12966
885;12966
886;12966
887;12966
888;14383
889;14383
890;14383
891;14383
892;15993
893;15993
894;15993
895;15993
896;16491
897;16491
898;16491
899;16491
900;16344
901;16344
902;16344
903;16344
904;16301
905;16301
906;16301
907;16301
908;16591
909;16591
910;16591
911;16591
912;16653
913;16653
914;16653
915;16653
916;16557
917;16557
918;16557
919;16557
920;16321
921;16321
922;16321
923;16321
924;16487
925;16487
926;16487
927;16487
928;16726
929;16726
930;16726
931;16726
932;17216
933;17216
934;17216
935;17216
936;17027
937;17027
938;17027
939;17027
940;16765
941;16765
942;16765
943;16765
944;15882
945;15882
946;15882
947;15882
948;15053
949;15053
950;15053
951;15053
952;14541
953;14541
954;14541
955;14541
956;13718
957;13718
958;13718
959;13718
960;13230
961;13230
962;13230
963;13230
964;12557
965;12557
966;12557
967;12557
968;12171
969;12171
970;12171
971;12171
972;12138
973;12138
974;12138
975;12138
976;12126
977;12126
978;12126
979;12126
980;11921
981;11921
982;11921
983;11921
984;12085
985;12085
986;12085
987;12085
988;12789
989;12789
990;12789
991;12789
992;13595
993;13595
994;13595
995;13595
996;14156
997;14156
998;14156
999;14156
1000;14423
1001;14423
1002;14423
1003;14423
1004;14732
1005;14732
1006;14732
1007;14732
1008;14770
1009;14770
1010;14770
1011;14770
1012;14677
1013;14677
1014;14677
1015;14677
1016;14210
1017;14210
1018;14210
1019;14210
1020;13991
1021;13991
1022;13991
1023;13991
1024;14135
1025;14135
1026;14135
1027;14135
1028;14782
1029;14782
1030;14782
1031;14782
1032;14794
1033;14794
1034;14794
1035;14794
1036;14131
1037;14131
1038;14131
1039;14131
1040;13162
1041;13162
1042;13162
1043;13162
1044;12859
1045;12859
1046;12859
1047;12859
1048;12691
1049;12691
1050;12691
1051;12691
1052;11987
1053;11987
1054;11987
1055;11987
1056;11532
1057;11532
1058;11532
1059;11532
1060;11028
1061;11028
1062;11028
1063;11028
1064;10634
1065;10634
1066;10634
1067;10634
1068;10517
1069;10517
1070;10517
1071;10517
1072;10646
1073;10646
1074;10646
1075;10646
1076;10458
1077;10458
1078;10458
1079;10458
1080;10336
1081;10336
1082;10336
1083;10336
1084;10452
1085;10452
1086;10452
1087;10452
1088;11115
1089;11115
1090;11115
1091;11115
1092;11904
1093;11904
1094;11904
1095;11904
1096;12441
1097;12441
1098;12441
1099;12441
1100;12964
1101;12964
1102;12964
1103;12964
1104;13250
1105;13250
1106;13250
1107;13250
1108;12980
1109;12980
1110;12980
1111;12980
1112;12658
1113;12658
1114;12658
1115;12658
1116;12383
1117;12383
1118;12383
1119;12383
1120;12826
1121;12826
1122;12826
1123;12826
1124;13976
1125;13976
1126;13976
1127;13976
1128;14533
1129;14533
1130;14533
1131;14533
1132;14188
1133;14188
1134;14188
1135;14188
1136;13773
1137;13773
1138;13773
1139;13773
1140;13248
1141;13248
1142;13248
1143;13248
1144;13477
1145;13477
1146;13477
1147;13477
1148;12899
1149;12899
1150;12899
1151;12899
1152;11482
1153;11482
1154;11482
1155;11482
1156;10956
1157;10956
1158;10956
1159;10956
1160;10791
1161;10791
1162;10791
1163;10791
1164;10892
1165;10892
1166;10892
1167;10892
1168;11302
1169;11302
1170;11302
1171;11302
1172;12044
1173;12044
1174;12044
1175;12044
1176;14165
1177;14165
1178;14165
1179;14165
1180;16155
1181;16155
1182;16155
1183;16155
1184;16724
1185;16724
1186;16724
1187;16724
1188;16568
1189;16568
1190;16568
1191;16568
1192;16636
1193;16636
1194;16636
1195;16636
1196;16803
1197;16803
1198;16803
1199;16803
1200;16647
1201;16647
1202;16647
1203;16647
1204;16639
1205;16639
1206;16639
1207;16639
1208;16448
1209;16448
1210;16448
1211;16448
1212;16216
1213;16216
1214;16216
1215;16216
1216;16122
1217;16122
1218;16122
1219;16122
1220;16903
1221;16903
1222;16903
1223;16903
1224;16869
1225;16869
1226;16869
1227;16869
1228;16402
1229;16402
1230;16402
1231;16402
1232;15522
1233;15522
1234;15522
1235;15522
1236;14624
1237;14624
1238;14624
1239;14624
1240;13992
1241;13992
1242;13992
1243;13992
1244;12964
1245;12964
1246;12964
1247;12964
1248;12254
1249;12254
1250;12254
1251;12254
1252;11557
1253;11557
1254;11557
1255;11557
1256;11318
1257;11318
1258;11318
1259;11318
1260;11410
1261;11410
1262;11410
1263;11410
1264;11702
1265;11702
1266;11702
1267;11702
1268;12412
1269;12412
1270;12412
1271;12412
1272;14308
1273;14308
1274;14308
1275;14308
1276;15896
1277;15896
1278;15896
1279;15896
1280;16410
1281;16410
1282;16410
1283;16410
1284;16104
1285;16104
1286;16104
1287;16104
1288;16220
1289;16220
1290;16220
1291;16220
1292;16319
1293;16319
1294;16319
1295;16319
1296;16259
1297;16259
1298;16259
1299;16259
1300;16167
1301;16167
1302;16167
1303;16167
1304;16022
1305;16022
1306;16022
1307;16022
1308;15855
1309;15855
1310;15855
1311;15855
1312;15846
1313;15846
1314;15846
1315;15846
1316;16706
1317;16706
1318;16706
1319;16706
1320;16616
1321;16616
1322;16616
1323;16616
1324;16253
1325;16253
1326;16253
1327;16253
1328;15051
1329;15051
1330;15051
1331;15051
1332;14346
1333;14346
1334;14346
1335;14346
1336;13692
1337;13692
1338;13692
1339;13692
1340;12768
1341;12768
1342;12768
1343;12768
1344;11964
1345;11964
1346;11964
1347;11964
1348;11486
1349;11486
1350;11486
1351;11486
1352;11218
1353;11218
1354;11218
1355;11218
1356;8861
1357;8861
1358;8861
1359;8861
1360;11627
1361;11627
1362;11627
1363;11627
1364;12279
1365;12279
1366;12279
1367;12279
1368;14095
1369;14095
1370;14095
1371;14095
1372;15665
1373;15665
1374;15665
1375;15665
1376;16177
1377;16177
1378;16177
1379;16177
1380;16114
1381;16114
1382;16114
1383;16114
1384;15248
1385;15248
1386;15248
1387;15248
1388;16320
1389;16320
1390;16320
1391;16320
1392;16204
1393;16204
1394;16204
1395;16204
1396;16053
1397;16053
1398;16053
1399;16053
1400;15937
1401;15937
1402;15937
1403;15937
1404;15917
1405;15917
1406;15917
1407;15917
1408;16090
1409;16090
1410;16090
1411;16090
1412;16853
1413;16853
1414;16853
1415;16853
1416;16820
1417;16820
1418;16820
1419;16820
1420;16340
1421;16340
1422;16340
1423;16340
1424;15361
1425;15361
1426;15361
1427;15361
1428;14813
1429;14813
1430;14813
1431;14813
1432;14391
1433;14391
1434;14391
1435;14391
1436;13425
1437;13425
1438;13425
1439;13425
1440;12523
1441;12523
1442;12523
1443;12523
1444;11992
1445;11992
1446;11992
1447;11992
1448;11789
1449;11789
1450;11789
1451;11789
1452;11901
1453;11901
1454;11901
1455;11901
1456;12088
1457;12088
1458;12088
1459;12088
1460;12744
1461;12744
1462;12744
1463;12744
1464;14651
1465;14651
1466;14651
1467;14651
1468;16067
1469;16067
1470;16067
1471;16067
1472;16896
1473;16896
1474;16896
1475;16896
1476;16788
1477;16788
1478;16788
1479;16788
1480;16847
1481;16847
1482;16847
1483;16847
1484;16839
1485;16839
1486;16839
1487;16839
1488;16694
1489;16694
1490;16694
1491;16694
1492;16548
1493;16548
1494;16548
1495;16548
1496;16316
1497;16316
1498;16316
1499;16316
1500;16167
1501;16167
1502;16167
1503;16167
1504;16236
1505;16236
1506;16236
1507;16236
1508;17135
1509;17135
1510;17135
1511;17135
1512;16902
1513;16902
1514;16902
1515;16902
1516;16503
1517;16503
1518;16503
1519;16503
1520;15444
1521;15444
1522;15444
1523;15444
1524;14904
1525;14904
1526;14904
1527;14904
1528;14310
1529;14310
1530;14310
1531;14310
1532;13100
1533;13100
1534;13100
1535;13100
1536;12243
1537;12243
1538;12243
1539;12243
1540;11741
1541;11741
1542;11741
1543;11741
1544;11455
1545;11455
1546;11455
1547;11455
1548;11574
1549;11574
1550;11574
1551;11574
1552;11857
1553;11857
1554;11857
1555;11857
1556;12562
1557;12562
1558;12562
1559;12562
1560;14325
1561;14325
1562;14325
1563;14325
1564;15810
1565;15810
1566;15810
1567;15810
1568;16769
1569;16769
1570;16769
1571;16769
1572;16693
1573;16693
1574;16693
1575;16693
1576;16598
1577;16598
1578;16598
1579;16598
1580;16749
1581;16749
1582;16749
1583;16749
1584;16225
1585;16225
1586;16225
1587;16225
1588;15917
1589;15917
1590;15917
1591;15917
1592;15581
1593;15581
1594;15581
1595;15581
1596;15392
1597;15392
1598;15392
1599;15392
1600;15431
1601;15431
1602;15431
1603;15431
1604;16464
1605;16464
1606;16464
1607;16464
1608;16507
1609;16507
1610;16507
1611;16507
1612;15721
1613;15721
1614;15721
1615;15721
1616;14781
1617;14781
1618;14781
1619;14781
1620;14164
1621;14164
1622;14164
1623;14164
1624;13933
1625;13933
1626;13933
1627;13933
1628;13196
1629;13196
1630;13196
1631;13196
1632;12356
1633;12356
1634;12356
1635;12356
1636;11717
1637;11717
1638;11717
1639;11717
1640;11105
1641;11105
1642;11105
1643;11105
1644;11081
1645;11081
1646;11081
1647;11081
1648;11046
1649;11046
1650;11046
1651;11046
1652;11125
1653;11125
1654;11125
1655;11125
1656;11368
1657;11368
1658;11368
1659;11368
1660;12092
1661;12092
1662;12092
1663;12092
1664;13145
1665;13145
1666;13145
1667;13145
1668;13783
1669;13783
1670;13783
1671;13783
1672;14121
1673;14121
1674;14121
1675;14121
1676;14149
1677;14149
1678;14149
1679;14149
1680;14109
1681;14109
1682;14109
1683;14109
1684;13661
1685;13661
1686;13661
1687;13661
1688;13360
1689;13360
1690;13360
1691;13360
1692;13373
1693;13373
1694;13373
1695;13373
1696;13608
1697;13608
1698;13608
1699;13608
1700;14832
1701;14832
1702;14832
1703;14832
1704;15013
1705;15013
1706;15013
1707;15013
1708;14481
1709;14481
1710;14481
1711;14481
1712;13783
1713;13783
1714;13783
1715;13783
1716;13370
1717;13370
1718;13370
1719;13370
1720;13209
1721;13209
1722;13209
1723;13209
1724;12553
1725;12553
1726;12553
1727;12553
1728;12013
1729;12013
1730;12013
1731;12013
1732;11521
1733;11521
1734;11521
1735;11521
1736;11220
1737;11220
1738;11220
1739;11220
1740;11011
1741;11011
1742;11011
1743;11011
1744;10854
1745;10854
1746;10854
1747;10854
1748;10686
1749;10686
1750;10686
1751;10686
1752;10585
1753;10585
1754;10585
1755;10585
1756;11053
1757;11053
1758;11053
1759;11053
1760;11798
1761;11798
1762;11798
1763;11798
1764;12466
1765;12466
1766;12466
1767;12466
1768;13107
1769;13107
1770;13107
1771;13107
1772;13743
1773;13743
1774;13743
1775;13743
1776;13818
1777;13818
1778;13818
1779;13818
1780;13364
1781;13364
1782;13364
1783;13364
1784;13026
1785;13026
1786;13026
1787;13026
1788;12930
1789;12930
1790;12930
1791;12930
1792;13078
1793;13078
1794;13078
1795;13078
1796;14024
1797;14024
1798;14024
1799;14024
1800;14223
1801;14223
1802;14223
1803;14223
1804;13989
1805;13989
1806;13989
1807;13989
1808;13534
1809;13534
1810;13534
1811;13534
1812;13214
1813;13214
1814;13214
1815;13214
1816;13306
