tick;positiveVolume [MW];negativeVolume [MW]
0;4600;4853
1;4600;4853
2;4600;4853
3;4600;4853
4;4600;4853
5;4600;4853
6;4600;4853
7;4600;4853
8;4600;4853
9;4600;4853
10;4600;4853
11;4600;4853
12;4600;4853
13;4600;4853
14;4600;4853
15;4600;4853
16;4600;4853
17;4600;4853
18;4600;4853
19;4600;4853
20;4600;4853
21;4600;4853
22;4600;4853
23;4600;4853
24;4600;4853
25;4600;4853
26;4600;4853
27;4600;4853
28;4600;4853
29;4600;4853
30;4600;4853
31;4600;4853
32;4600;4853
33;4600;4853
34;4600;4853
35;4600;4853
36;4600;4853
37;4600;4853
38;4600;4853
39;4600;4853
40;4600;4853
41;4600;4853
42;4600;4853
43;4600;4853
44;4600;4853
45;4600;4853
46;4600;4853
47;4600;4853
48;4600;4853
49;4600;4853
50;4600;4853
51;4600;4853
52;4600;4853
53;4600;4853
54;4600;4853
55;4600;4853
56;4600;4853
57;4600;4853
58;4600;4853
59;4600;4853
60;4600;4853
61;4600;4853
62;4600;4853
63;4600;4853
64;4600;4853
65;4600;4853
66;4600;4853
67;4600;4853
68;4600;4853
69;4600;4853
70;4600;4853
71;4600;4853
72;4600;4853
73;4600;4853
74;4600;4853
75;4600;4853
76;4600;4853
77;4600;4853
78;4600;4853
79;4600;4853
80;4600;4853
81;4600;4853
82;4600;4853
83;4600;4853
84;4600;4853
85;4600;4853
86;4600;4853
87;4600;4853
88;4600;4853
89;4600;4853
90;4600;4853
91;4600;4853
92;4600;4853
93;4600;4853
94;4600;4853
95;4600;4853
96;4600;4853
97;4600;4853
98;4600;4853
99;4600;4853
100;4600;4853
101;4600;4853
102;4600;4853
103;4600;4853
104;4600;4853
105;4600;4853
106;4600;4853
107;4600;4853
108;4600;4853
109;4600;4853
110;4600;4853
111;4600;4853
112;4600;4853
113;4600;4853
114;4600;4853
115;4600;4853
116;4600;4853
117;4600;4853
118;4600;4853
119;4600;4853
120;4600;4853
121;4600;4853
122;4600;4853
123;4600;4853
124;4600;4853
125;4600;4853
126;4600;4853
127;4600;4853
128;4600;4853
129;4600;4853
130;4600;4853
131;4600;4853
132;4600;4853
133;4600;4853
134;4600;4853
135;4600;4853
136;4600;4853
137;4600;4853
138;4600;4853
139;4600;4853
140;4600;4853
141;4600;4853
142;4600;4853
143;4600;4853
144;4600;4853
145;4600;4853
146;4600;4853
147;4600;4853
148;4600;4853
149;4600;4853
150;4600;4853
151;4600;4853
152;4600;4853
153;4600;4853
154;4600;4853
155;4600;4853
156;4600;4853
157;4600;4853
158;4600;4853
159;4600;4853
160;4600;4853
161;4600;4853
162;4600;4853
163;4600;4853
164;4600;4853
165;4600;4853
166;4600;4853
167;4600;4853
168;4600;4853
169;4600;4853
170;4600;4853
171;4600;4853
172;4600;4853
173;4600;4853
174;4600;4853
175;4600;4853
176;4600;4853
177;4600;4853
178;4600;4853
179;4600;4853
180;4600;4853
181;4600;4853
182;4600;4853
183;4600;4853
184;4600;4853
185;4600;4853
186;4600;4853
187;4600;4853
188;4600;4853
189;4600;4853
190;4600;4853
191;4600;4853
192;4600;4853
193;4600;4853
194;4600;4853
195;4600;4853
196;4600;4853
197;4600;4853
198;4600;4853
199;4600;4853
200;4600;4853
201;4600;4853
202;4600;4853
203;4600;4853
204;4600;4853
205;4600;4853
206;4600;4853
207;4600;4853
208;4600;4853
209;4600;4853
210;4600;4853
211;4600;4853
212;4600;4853
213;4600;4853
214;4600;4853
215;4600;4853
216;4600;4853
217;4600;4853
218;4600;4853
219;4600;4853
220;4600;4853
221;4600;4853
222;4600;4853
223;4600;4853
224;4600;4853
225;4600;4853
226;4600;4853
227;4600;4853
228;4600;4853
229;4600;4853
230;4600;4853
231;4600;4853
232;4600;4853
233;4600;4853
234;4600;4853
235;4600;4853
236;4600;4853
237;4600;4853
238;4600;4853
239;4600;4853
240;4600;4853
241;4600;4853
242;4600;4853
243;4600;4853
244;4600;4853
245;4600;4853
246;4600;4853
247;4600;4853
248;4600;4853
249;4600;4853
250;4600;4853
251;4600;4853
252;4600;4853
253;4600;4853
254;4600;4853
255;4600;4853
256;4600;4853
257;4600;4853
258;4600;4853
259;4600;4853
260;4600;4853
261;4600;4853
262;4600;4853
263;4600;4853
264;4600;4853
265;4600;4853
266;4600;4853
267;4600;4853
268;4600;4853
269;4600;4853
270;4600;4853
271;4600;4853
272;4600;4853
273;4600;4853
274;4600;4853
275;4600;4853
276;4600;4853
277;4600;4853
278;4600;4853
279;4600;4853
280;4600;4853
281;4600;4853
282;4600;4853
283;4600;4853
284;4600;4853
285;4600;4853
286;4600;4853
287;4600;4853
288;4600;4853
289;4600;4853
290;4600;4853
291;4600;4853
292;4600;4853
293;4600;4853
294;4600;4853
295;4600;4853
296;4600;4853
297;4600;4853
298;4600;4853
299;4600;4853
300;4600;4853
301;4600;4853
302;4600;4853
303;4600;4853
304;4600;4853
305;4600;4853
306;4600;4853
307;4600;4853
308;4600;4853
309;4600;4853
310;4600;4853
311;4600;4853
312;4600;4853
313;4600;4853
314;4600;4853
315;4600;4853
316;4600;4853
317;4600;4853
318;4600;4853
319;4600;4853
320;4600;4853
321;4600;4853
322;4600;4853
323;4600;4853
324;4600;4853
325;4600;4853
326;4600;4853
327;4600;4853
328;4600;4853
329;4600;4853
330;4600;4853
331;4600;4853
332;4600;4853
333;4600;4853
334;4600;4853
335;4600;4853
336;4600;4853
337;4600;4853
338;4600;4853
339;4600;4853
340;4600;4853
341;4600;4853
342;4600;4853
343;4600;4853
344;4600;4853
345;4600;4853
346;4600;4853
347;4600;4853
348;4600;4853
349;4600;4853
350;4600;4853
351;4600;4853
352;4600;4853
353;4600;4853
354;4600;4853
355;4600;4853
356;4600;4853
357;4600;4853
358;4600;4853
359;4600;4853
360;4600;4853
361;4600;4853
362;4600;4853
363;4600;4853
364;4600;4853
365;4600;4853
366;4600;4853
367;4600;4853
368;4600;4853
369;4600;4853
370;4600;4853
371;4600;4853
372;4600;4853
373;4600;4853
374;4600;4853
375;4600;4853
376;4600;4853
377;4600;4853
378;4600;4853
379;4600;4853
380;4600;4853
381;4600;4853
382;4600;4853
383;4600;4853
384;4155;4332
385;4155;4332
386;4155;4332
387;4155;4332
388;4155;4332
389;4155;4332
