name;description;powerMax [MW];powerMin [MW];efficiency [%];rampUp [MW/15min];rampDown [MW/15min];variablelCosts [EUR/MWh];shutdownCosts [EUR/MW];startupCosts  [EUR/MW]
NEURATH F;lignite;1120;280;0,434;336;336;20,75;2,7;45
NEURATH G;lignite;1120;280;0,434;336;336;20,75;2,7;45
NIEDERAUSSEM K;lignite;1012;253;0,422;304;304;21,3;2,7;45
LIPPENDORF R;lignite;933;233;0,416;280;280;21,58;2,7;45
LIPPENDORF S;lignite;933;233;0,415;280;280;21,63;2,7;45
BOXBERG Q;lignite;907;227;0,415;272;272;21,63;2,7;45
SCHWARZE PUMPE A;lignite;800;200;0,408;240;240;21,97;2,7;45
SCHWARZE PUMPE B;lignite;800;200;0,407;240;240;22,02;2,7;45
BOXBERG R;lignite;675;169;0,433;203;203;20,8;2,7;45
JANSCHWALDE D;lignite;500;125;0,388;150;150;23,02;2,7;45
JANSCHWALDE E;lignite;500;125;0,386;150;150;23,13;2,7;45
JANSCHWALDE F;lignite;500;125;0,386;150;150;23,13;2,7;45
JANSCHWALDE B;lignite;500;125;0,38;150;150;23,47;2,7;45
JANSCHWALDE C;lignite;500;125;0,379;150;150;23,52;2,7;45
JANSCHWALDE A;lignite;500;125;0,37;150;150;24,06;2,7;45
SCHKOPAU-II A;lignite;480;120;0,41;144;144;21,87;2,7;45
SCHKOPAU-II B;lignite;480;120;0,41;144;144;21,87;2,7;45
MERKENICH (NORD) 3;lignite;58;15;0,325;17;17;27,16;2,7;45
COTTBUS CHP S1;lignite;48;12;0,416;14;14;21,58;2,7;45
MERKENICH (NORD) 2;lignite;24;6;0,299;7;7;29,38;2,7;45
COTTBUS CHP S2;lignite;18;5;0,416;5;5;21,58;2,7;45
DESSAU S1;lignite;17;4;0,4;5;5;22,38;2,7;45
DESSAU S2;lignite;17;4;0,4;5;5;22,38;2,7;45
NIEDERAUSSEM G;lignite;620;372;0,38;93;93;23,47;3;50
NIEDERAUSSEM H;lignite;620;372;0,374;93;93;23,82;3;50
NEURATH D;lignite;600;360;0,364;90;90;24,43;3;50
WEISWEILER H;lignite;600;360;0,364;90;90;24,43;3;50
NEURATH E;lignite;600;360;0,363;90;90;24,49;3;50
WEISWEILER G;lignite;600;360;0,354;90;90;25,07;3;50
BOXBERG P;lignite;500;300;0,372;75;75;23,94;3;50
BOXBERG N;lignite;500;300;0,362;75;75;24,55;3;50
NIEDERAUSSEM C;lignite;335;201;0,338;50;50;26,18;3;50
NIEDERAUSSEM F;lignite;320;192;0,346;48;48;25,61;3;50
NIEDERAUSSEM E;lignite;315;189;0,346;47;47;25,61;3;50
NEURATH A;lignite;300;180;0,355;45;45;25;3;50
NEURATH B;lignite;300;180;0,355;45;45;25;3;50
NEURATH C;lignite;300;180;0,355;45;45;25;3;50
FRIMMERSDORF Q;lignite;300;180;0,346;45;45;25,61;3;50
WEISWEILER E;lignite;300;180;0,338;45;45;26,18;3;50
FRIMMERSDORF P;lignite;300;180;0,337;45;45;26,25;3;50
NIEDERAUSSEM D;lignite;300;180;0,337;45;45;26,25;3;50
WEISWEILER F;lignite;300;180;0,337;45;45;26,25;3;50
GOLDENBERG K;lignite;171;103;0,393;26;26;22,75;3;50
NIEDERAUSSEM A;lignite;152;91;0,328;23;23;26,93;3;50
NIEDERAUSSEM B;lignite;152;91;0,328;23;23;26,93;3;50
FRIMMERSDORF L;lignite;150;90;0,329;23;23;26,85;3;50
FRIMMERSDORF M;lignite;150;90;0,329;23;23;26,85;3;50
FRIMMERSDORF N;lignite;150;90;0,328;23;23;26,93;3;50
FRIMMERSDORF O;lignite;150;90;0,328;23;23;26,93;3;50
FRIMMERSDORF E;lignite;150;90;0,319;23;23;27,64;3;50
FRIMMERSDORF F;lignite;150;90;0,319;23;23;27,64;3;50
WEISWEILER D;lignite;150;90;0,319;23;23;27,64;3;50
WEISWEILER C;lignite;150;90;0,31;23;23;28,39;3;50
OBERHAVEL 2;lignite;100;60;0,329;15;15;26,85;3;50
OBERHAVEL 1;lignite;100;60;0,319;15;15;27,64;3;50
CHEMNITZ NORD-II NO 3;lignite;75;45;0,395;11;11;22,64;3;50
CHEMNITZ NORD-II NO 2;lignite;67;40;0,386;10;10;23,13;3;50
KLINGENBERG 5;lignite;60;36;0,388;9;9;23,02;3;50
KLINGENBERG 6;lignite;60;36;0,388;9;9;23,02;3;50
KLINGENBERG 4;lignite;60;36;0,37;9;9;24,06;3;50
NOSSENER 1;lignite;25;15;0,337;4;4;26,25;3;50
NOSSENER 2;lignite;25;15;0,337;4;4;26,25;3;50
NOSSENER 3;lignite;25;15;0,337;4;4;26,25;3;50
RDK (KARLSRUHE) 8;hard coal;912;228;0,452;410;410;35,4;2,7;49,5
GKM 9;hard coal;911;228;0,454;410;410;35,25;2,7;49,5
MOORBURG-A;hard coal;865;216;0,465;389;389;34,44;2,7;49,5
MOORBURG-B;hard coal;865;216;0,465;389;389;34,44;2,7;49,5
WESTFALEN-D;hard coal;820;205;0,453;369;369;35,32;2,7;49,5
WESTFALEN-E;hard coal;820;205;0,452;369;369;35,4;2,7;49,5
WILHELMSHAVEN-C;hard coal;800;200;0,452;360;360;35,4;2,7;49,5
WALSUM-10;hard coal;790;198;0,454;356;356;35,25;2,7;49,5
BERGKAMEN A;hard coal;777;194;0,38;350;350;41,86;2,7;49,5
VOERDE B;hard coal;761;190;0,398;342;342;40,02;2,7;49,5
VOERDE A;hard coal;761;190;0,39;342;342;40,82;2,7;49,5
LUNEN-4 NO 1;hard coal;750;188;0,459;338;338;34,88;2,7;49,5
WEIHER 3;hard coal;707;177;0,373;318;318;42,62;2,7;49,5
RDK (KARLSRUHE) 7;hard coal;550;138;0,398;248;248;40,02;2,7;49,5
WEST (VOERDE) 1;hard coal;356;89;0,356;160;160;44,59;2,7;49,5
WEST (VOERDE) 2;hard coal;356;89;0,356;160;160;44,59;2,7;49,5
ALTBACH-II NO 1;hard coal;348;87;0,428;157;157;37,31;2,7;49,5
