tick;price
"-9600";688,403
"-9599";374,669
"-9598";137,13
"-9597";74,582
"-9596";48,155
"-9595";36,345
"-9594";32,317
"-9593";17,209
"-9592";42,29
"-9591";17,209
"-9590";45,287
"-9589";39,853
"-9588";59,725
"-9587";41,607
"-9586";50,708
"-9585";41,607
"-9584";69,495
"-9583";47,329
"-9582";69,195
"-9581";46,226
"-9580";166,508
"-9579";81,446
"-9578";93,956
"-9577";78,741
"-9576";218,085
"-9575";89,237
"-9574";99,288
"-9573";80,336
"-9572";200,741
"-9571";85,701
"-9570";87,88
"-9569";78,741
"-9568";78,741
"-9567";69,829
"-9566";69,495
"-9565";62,19
"-9564";69,195
"-9563";48,928
"-9562";67,582
"-9561";42,091
"-9560";50,708
"-9559";41,509
"-9558";42,29
"-9557";39,853
"-9556";41,607
"-9555";39,486
"-9554";42,091
"-9553";39,486
"-9552";41,607
"-9551";38,247
"-9550";42,29
"-9549";39,853
"-9548";36,106
"-9547";34,43
"-9546";45,987
"-9545";41,607
"-9544";44,608
"-9543";42,39
"-9542";67,582
"-9541";52,049
"-9540";67,582
"-9539";53,629
"-9538";74,683
"-9537";75,044
"-9536";80,995
"-9535";80,995
"-9534";108,576
"-9533";87,88
"-9532";213,932
"-9531";124,91
"-9530";138,812
"-9529";94,399
"-9528";274,733
"-9527";155,175
"-9526";136,557
"-9525";114,5
"-9524";107,53
"-9523";106,598
"-9522";129,879
"-9521";103,335
"-9520";73,605
"-9519";73,17
"-9518";77,218
"-9517";72,326
"-9516";50,883
"-9515";48,489
"-9514";50,851
"-9513";48,354
"-9512";36,621
"-9511";35,015
"-9510";39,853
"-9509";35,015
"-9508";31,994
"-9507";31,994
"-9506";39,853
"-9505";31,994
"-9504";31,227
"-9503";26,011
"-9502";39,853
"-9501";24,636
"-9500";17,209
"-9499";15,291
"-9498";39,853
"-9497";9,445
"-9496";40,946
"-9495";22,188
"-9494";39,853
"-9493";10,905
"-9492";41,607
"-9491";39,947
"-9490";41,509
"-9489";39,853
"-9488";59,877
"-9487";47,329
"-9486";54,173
"-9485";46,467
"-9484";83,937
"-9483";80,336
"-9482";80,537
"-9481";73,317
"-9480";187,342
"-9479";89,21
"-9478";82,416
"-9477";78,741
"-9476";79,137
"-9475";73,865
"-9474";70,132
"-9473";69,195
"-9472";68,455
"-9471";54,746
"-9470";50,883
"-9469";45,287
"-9468";47,206
"-9467";42,29
"-9466";41,607
"-9465";39,827
"-9464";42,091
"-9463";39,853
"-9462";39,546
"-9461";39,486
"-9460";41,509
"-9459";39,853
"-9458";39,947
"-9457";39,853
"-9456";36,621
"-9455";39,853
"-9454";41,607
"-9453";42,29
"-9452";41,607
"-9451";42,091
"-9450";46,226
"-9449";48,489
"-9448";46,226
"-9447";52,206
"-9446";69,34
"-9445";71,355
"-9444";73,317
"-9443";76,346
"-9442";80,537
"-9441";82,416
"-9440";96,096
"-9439";94,776
"-9438";108,576
"-9437";90,454
"-9436";124,625
"-9435";91,937
"-9434";127,042
"-9433";90,122
"-9432";211,21
"-9431";113,709
"-9430";100,823
"-9429";87,88
"-9428";78,741
"-9427";78,741
"-9426";78,741
"-9425";77,402
"-9424";67,582
"-9423";62,19
"-9422";68,455
"-9421";67,582
"-9420";45,287
"-9419";44,81
"-9418";46,226
"-9417";44,608
"-9416";36,621
"-9415";35,547
"-9414";39,947
"-9413";39,853
"-9412";31,994
"-9411";32,895
"-9410";39,853
"-9409";39,853
"-9408";29,064
"-9407";26,011
"-9406";39,853
"-9405";24,636
"-9404";17,209
"-9403";39,853
"-9402";39,947
"-9401";39,853
"-9400";39,947
"-9399";39,853
"-9398";39,947
"-9397";39,853
"-9396";40,946
"-9395";39,853
"-9394";41,509
"-9393";39,853
"-9392";60,153
"-9391";47,329
"-9390";48,489
"-9389";44,608
"-9388";83,484
"-9387";80,336
"-9386";80,336
"-9385";76,116
"-9384";184,226
"-9383";87,88
"-9382";82,416
"-9381";78,741
"-9380";90,122
"-9379";81,983
"-9378";80,336
"-9377";78,741
"-9376";79,137
"-9375";76,116
"-9374";74,683
"-9373";69,495
"-9372";69,495
"-9371";68,318
"-9370";67,552
"-9369";50,851
"-9368";69,195
"-9367";48,354
"-9366";44,608
"-9365";40,946
"-9364";39,853
"-9363";39,486
"-9362";36,621
"-9361";35,015
"-9360";34,237
"-9359";32,926
"-9358";39,853
"-9357";40,946
"-9356";32,926
"-9355";39,853
"-9354";41,607
"-9353";41,607
"-9352";41,509
"-9351";41,607
"-9350";42,29
"-9349";45,287
"-9348";44,608
"-9347";48,489
"-9346";67,582
"-9345";67,582
"-9344";69,495
"-9343";69,495
"-9342";76,116
"-9341";78,741
"-9340";80,537
"-9339";80,547
"-9338";82,416
"-9337";82,416
"-9336";124,625
"-9335";87,88
"-9334";87,88
"-9333";83,937
"-9332";78,741
"-9331";77,402
"-9330";77,613
"-9329";75,402
"-9328";47,206
"-9327";45,381
"-9326";45,987
"-9325";44,608
"-9324";35,015
"-9323";35,345
"-9322";39,947
"-9321";35,015
"-9320";31,503
"-9319";31,346
"-9318";39,853
"-9317";31,227
"-9316";9,445
"-9315";9,445
"-9314";39,947
"-9313";39,853
"-9312";9,302
"-9311";9,262
"-9310";39,853
"-9309";22,188
"-9308";8,591
"-9307";14,357
"-9306";35,788
"-9305";13,2
"-9304";37,05
"-9303";12,152
"-9302";39,421
"-9301";12,152
"-9300";41,509
"-9299";40,51
"-9298";41,607
"-9297";40,946
"-9296";58,134
"-9295";47,206
"-9294";48,489
"-9293";44,608
"-9292";81,055
"-9291";78,741
"-9290";78,741
"-9289";69,495
"-9288";184,226
"-9287";89,193
"-9286";83,937
"-9285";80,336
"-9284";87,88
"-9283";80,336
"-9282";78,741
"-9281";77,218
